videoId,category,categoryLabel,method,metric,value
video_009,basketball_movements,Basketball,ikpy,WOM,0.2708333333333333
video_009,basketball_movements,Basketball,ikpy,HJAr,0.08816335445755183
video_009,basketball_movements,Basketball,ikpy,TSE,2.0208285525127616
video_009,basketball_movements,Basketball,ikpy,SYN,0.3783122021719244
video_009,basketball_movements,Basketball,original_solution,EEAr,1.172430654383442
video_009,basketball_movements,Basketball,original_solution,SOAx,1.2548203592278033
video_009,basketball_movements,Basketball,original_solution,HJL,0.0
video_009,basketball_movements,Basketball,original_solution,WOM,0.45833333333333337
video_009,basketball_movements,Basketball,original_solution,HJAr,0.001056046148226134
video_009,basketball_movements,Basketball,original_solution,TSE,0.31513598777891616
video_009,basketball_movements,Basketball,original_solution,SYN,0.649675593015576
video_010,basketball_movements,Basketball,current_solution_constrained,EEAr,0.8423430147929246
video_010,basketball_movements,Basketball,current_solution_constrained,SOAx,1.055925433601653
video_010,basketball_movements,Basketball,current_solution_constrained,HJL,0.0
video_010,basketball_movements,Basketball,current_solution_constrained,WOM,0.8541666666666667
video_010,basketball_movements,Basketball,current_solution_constrained,HJAr,0.006020385156070954
video_010,basketball_movements,Basketball,current_solution_constrained,TSE,0.6045414373102679
video_010,basketball_movements,Basketball,current_solution_constrained,SYN,0.5798194643328383
video_010,basketball_movements,Basketball,current_solution_raw,EEAr,0.8423430147929246
video_010,basketball_movements,Basketball,current_solution_raw,SOAx,1.055925433601653
video_010,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_010,basketball_movements,Basketball,current_solution_raw,WOM,0.8541666666666667
video_010,basketball_movements,Basketball,current_solution_raw,HJAr,0.006020385156070954
video_010,basketball_movements,Basketball,current_solution_raw,TSE,0.6045414373102679
video_010,basketball_movements,Basketball,current_solution_raw,SYN,0.5798194643328383
video_010,basketball_movements,Basketball,ikpy,EEAr,1.1334300740762422
video_010,basketball_movements,Basketball,ikpy,SOAx,1.328930198715625
video_010,basketball_movements,Basketball,ikpy,HJL,0.0
video_010,basketball_movements,Basketball,ikpy,WOM,0.375
video_010,basketball_movements,Basketball,ikpy,HJAr,0.06927302400276374
video_010,basketball_movements,Basketball,ikpy,TSE,1.8236897137722972
video_010,basketball_movements,Basketball,ikpy,SYN,0.2633618673509498
video_010,basketball_movements,Basketball,original_solution,EEAr,0.8423430147929246
video_010,basketball_movements,Basketball,original_solution,SOAx,1.055925433601653
video_010,basketball_movements,Basketball,original_solution,HJL,0.0
video_010,basketball_movements,Basketball,original_solution,WOM,0.16666666666666669
video_010,basketball_movements,Basketball,original_solution,HJAr,0.006020385156070949
video_010,basketball_movements,Basketball,original_solution,TSE,0.6045414373102678
video_010,basketball_movements,Basketball,original_solution,SYN,0.5798194643328384
video_001,celebration_movements,Celebration,current_solution_constrained,EEAr,1.4885485017938649
video_001,celebration_movements,Celebration,current_solution_constrained,SOAx,1.893049863504861
video_001,celebration_movements,Celebration,current_solution_constrained,HJL,0.0
video_001,celebration_movements,Celebration,current_solution_constrained,WOM,0.5
video_001,celebration_movements,Celebration,current_solution_constrained,HJAr,0.002688974643030595
video_001,celebration_movements,Celebration,current_solution_constrained,TSE,0.7793280909239058
video_001,celebration_movements,Celebration,current_solution_constrained,SYN,0.5966402072546158
video_001,celebration_movements,Celebration,current_solution_raw,EEAr,1.4885485017938649
video_001,celebration_movements,Celebration,current_solution_raw,SOAx,1.893049863504861
video_001,celebration_movements,Celebration,current_solution_raw,HJL,0.0
video_001,celebration_movements,Celebration,current_solution_raw,WOM,0.5
video_001,celebration_movements,Celebration,current_solution_raw,HJAr,0.002688974643030595
video_001,celebration_movements,Celebration,current_solution_raw,TSE,0.7793280909239058
video_001,celebration_movements,Celebration,current_solution_raw,SYN,0.5966402072546158
video_001,celebration_movements,Celebration,ikpy,EEAr,1.458953650443159
video_001,celebration_movements,Celebration,ikpy,SOAx,1.8835975781481884
video_001,celebration_movements,Celebration,ikpy,HJL,0.0
video_001,celebration_movements,Celebration,ikpy,WOM,0.1875
video_001,celebration_movements,Celebration,ikpy,HJAr,0.13324594220235697
video_001,celebration_movements,Celebration,ikpy,TSE,4.369610026016385
video_001,celebration_movements,Celebration,ikpy,SYN,0.34116339489104697
video_001,celebration_movements,Celebration,original_solution,EEAr,1.4885485017938649
video_001,celebration_movements,Celebration,original_solution,SOAx,1.893049863504861
video_001,celebration_movements,Celebration,original_solution,HJL,0.0
video_001,celebration_movements,Celebration,original_solution,WOM,0.75
video_001,celebration_movements,Celebration,original_solution,HJAr,0.002688974643030597
video_001,celebration_movements,Celebration,original_solution,TSE,0.7793280909239073
video_001,celebration_movements,Celebration,original_solution,SYN,0.5966402072546155
video_002,celebration_movements,Celebration,current_solution_constrained,EEAr,1.3719764135011505
video_002,celebration_movements,Celebration,current_solution_constrained,SOAx,1.7812020427458557
video_002,celebration_movements,Celebration,current_solution_constrained,HJL,0.0
video_002,celebration_movements,Celebration,current_solution_constrained,WOM,0.6875
video_002,celebration_movements,Celebration,current_solution_constrained,HJAr,0.0030678504950401456
video_002,celebration_movements,Celebration,current_solution_constrained,TSE,0.6157195087265119
video_002,celebration_movements,Celebration,current_solution_constrained,SYN,0.6375811543645735
video_002,celebration_movements,Celebration,current_solution_raw,EEAr,1.3719764135011505
