Upper Arm;Forearm;Hand Palm;Twist Right;Twist Left;Comment;;;;;;;;;
LEFT;LEFT;DOWN;NAN SHOULDER, INWARD;INWARD;Singular depends on shoulder;;;;;;;;;
LEFT;LEFT;LEFT;NAN SHOULDER, NAN WRIST;NAN WRIST;Singular depends on shoulder;;;;;;;;;
LEFT;LEFT;RIGHT;NAN SHOULDER, NAN WRIST;NAN WRIST;Singular depends on shoulder;;;;;;;;;
LEFT;LEFT;FRONT;NAN SHOULDER, INWARD (360);CENTERED;Singular depends on shoulder;;;;;;;;;
LEFT;LEFT;BACK;NAN SHOULDER, CENTERED;360;Singular depends on shoulder;;;;;;;;;
LEFT;RIGHT;UP;NAN SHOULDER, NAN ELBOW;INWARD;[LEFT] For left hand, should be the same as left front in most cases but we cannot reach left right in different configurations so I think ghe best is just putting centered in (Left Right) and (Right left) approachas;;;;;;;;;
LEFT;RIGHT;DOWN;NAN SHOULDER, NAN ELBOW;OUTWARD;;;;;;;;;;
LEFT;RIGHT;LEFT;NAN SHOULDER, NAN ELBOW, NAN WRIST;NAN ELBOW, NAN WRIST;;;;;;;;;;
LEFT;RIGHT;RIGHT;NAN SHOULDER, NAN ELBOW, NAN WRIST;NAN ELBOW, NAN WRIST;;;;;;;;;;
LEFT;RIGHT;FRONT;NAN SHOULDER, NAN ELBOW;CENTERED;;;;;;;;;;
LEFT;RIGHT;BACK;NAN SHOULDER, NAN ELBOW;SUPER OUTWARD;"Hauria de ser algo com ""Super outward""";;;;;;;;;
LEFT;FRONT;UP;NAN SHOULDER, OUTWARD;360;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;FRONT;DOWN;NAN SHOULDER, INWARD;CENTERED;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;FRONT;LEFT;NAN SHOULDER, CENTERED;INWARD;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;FRONT;RIGHT;NAN SHOULDER, 360;OUTWARD;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;FRONT;FRONT;NAN SHOULDER, NAN WRIST;NAN WRIST;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;FRONT;BACK;NAN SHOULDER, NAN WRIST;NAN WRIST;"[LEFT] No encaixa del tot amb el que tenim posat com a left left, perque per exemple per la ma esquerra left front down is centered pero left left forward es centered
[RIGHT] Hauria de ser com front front";;;;;;;;;
LEFT;BACK;UP;NAN SHOULDER, 360;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
LEFT;BACK;DOWN;NAN SHOULDER, CENTERED;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
LEFT;BACK;LEFT;NAN SHOULDER, OUTWARD;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
LEFT;BACK;RIGHT;NAN SHOULDER, INWARD;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
LEFT;BACK;FRONT;NAN SHOULDER, NAN WRIST;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
LEFT;BACK;BACK;NAN SHOULDER, NAN WRIST;NAN HUMAN;[RIGHT] Tapem completament la ma aixi que es molt dificil tenir la hand orientaitno;;;;;;;;;
RIGHT;UP;UP;NAN WRIST;NAN WRIST;;;;;;;;;;
RIGHT;UP;DOWN;NAN WRIST;NAN WRIST;;;;;;;;;;
RIGHT;UP;LEFT;OUTWARD;NAN SHOULDER, OUTWARD;;;;;;;;;;
RIGHT;UP;RIGHT;INWARD;NAN SHOULDER, CENTERED;;;;;;;;;;
RIGHT;UP;FRONT;CENTERED;NAN SHOULDER, INWARD;;;;;;;;;;
RIGHT;UP;BACK;360;NAN SHOULDER, OUTWARD;;;;;;;;;;
RIGHT;DOWN;UP;NAN WRIST;NAN SHOULDER, NAN WRIST, NAN HUMAN;;;;;;;;;;
RIGHT;DOWN;DOWN;NAN WRIST;NAN SHOULDER, NAN WRIST, NAN HUMAN;;;;;;;;;;
RIGHT;DOWN;LEFT;OUTWARD;NAN SHOULDER, NAN HUMAN;;;;;;;;;;
RIGHT;DOWN;RIGHT;INWARD;NAN SHOULDER, NAN HUMAN;;;;;;;;;;
RIGHT;DOWN;FRONT;360;NAN SHOULDER, NAN HUMAN;;;;;;;;;;
RIGHT;DOWN;BACK;CENTERED;NAN SHOULDER, NAN HUMAN;;;;;;;;;;
RIGHT;LEFT;UP;INWARD;NAN SHOULDER, NAN ELBOW;;;;;;;;;;
RIGHT;LEFT;DOWN;OUTWARD;NAN SHOULDER, NAN ELBOW;;;;;;;;;;
RIGHT;LEFT;LEFT;NAN ELBOW, NAN WRIST;NAN SHOULDER, NAN ELBOW, NAN WRIST;;;;;;;;;;
RIGHT;LEFT;RIGHT;NAN ELBOW, NAN WRIST;NAN SHOULDER, NAN ELBOW, NAN WRIST;;;;;;;;;;
RIGHT;LEFT;FRONT;CENTERED;NAN SHOULDER, NAN ELBOW;;;;;;;;;;
RIGHT;LEFT;BACK;SUPER OUTWARD;NAN SHOULDER, NAN ELBOW;"Hauria de ser algo com ""Super outward""";;;;;;;;;
RIGHT;RIGHT;UP;OUTWARD;NAN SHOULDER. OUTWARD;Singular depends on shoulder;;;;;;;;;
RIGHT;RIGHT;DOWN;INWARD;NAN SHOULDER, INWARD;Singular depends on shoulder;;;;;;;;;
RIGHT;RIGHT;LEFT;NAN WRIST;NAN SHOULDER, NAN WRIST;Singular depends on shoulder;;;;;;;;;
RIGHT;RIGHT;RIGHT;NAN WRIST;NAN SHOULDER, NAN WRIST;Singular depends on shoulder;;;;;;;;;
RIGHT;RIGHT;FRONT;CENTERED;NAN SHOULDER, INWARD (360);Singular depends on shoulder;;;;;;;;;
RIGHT;RIGHT;BACK;360;NAN SHOULDER, CENTERED;Singular depends on shoulder;;;;;;;;;
RIGHT;FRONT;UP;360;NAN SHOULDER, OUTWARD;[LEFT] Same case as left front for right hand;;;;;;;;;
RIGHT;FRONT;DOWN;CENTERED;NAN SHOULDER, INWARD;;;;Check for same on upper and forearm to match;;;;;;
RIGHT;FRONT;LEFT;OUTWARD;NAN SHOULDER, 360;;;;;;;;;;
RIGHT;FRONT;RIGHT;INWARD;NAN SHOULDER, CENTERED;;;;;;;;;;
RIGHT;FRONT;FRONT;NAN WRIST;NAN SHOULDER, NAN WRIST;;;;;;;;;;
RIGHT;FRONT;BACK;NAN WRIST;NAN SHOULDER, NAN WRIST;;;;;;;;;;
RIGHT;BACK;UP;NAN HUMAN;NAN SHOULDER, 360;Same case as left back;;;;;;;;;
RIGHT;BACK;DOWN;NAN HUMAN;NAN SHOULDER, CENTERED;Same case as left back;;;;;;;;;
RIGHT;BACK;LEFT;NAN HUMAN;NAN SHOULDER, OUTWARD;Same case as left back;;;;;;;;;
RIGHT;BACK;RIGHT;NAN HUMAN;NAN SHOULDER, INWARD;Same case as left back;;;;;;;;;
RIGHT;BACK;FRONT;NAN HUMAN;NAN SHOULDER, NAN WRIST;Same case as left back;;;;;;;;;
RIGHT;BACK;BACK;NAN HUMAN;NAN SHOULDER, NAN WRIST;Same case as left back;;;;;;;;;
FRONT;UP;UP;NAN WRIST;NAN WRIST;;;;;;;;;;
FRONT;UP;DOWN;NAN WRIST;NAN WRIST;;;;;;;;;;
FRONT;UP;LEFT;CENTERED;360;;;;;;;;;;
FRONT;UP;RIGHT;360;CENTERED;;;;;;;;;;
FRONT;UP;FRONT;INWARD;INWARD;;;;;;;;;;
FRONT;UP;BACK;OUTWARD;OUTWARD;;;;;;;;;;
FRONT;DOWN;UP;NAN HUMAN, NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
FRONT;DOWN;DOWN;NAN HUMAN, NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
FRONT;DOWN;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
FRONT;DOWN;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
FRONT;DOWN;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
FRONT;DOWN;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
FRONT;LEFT;UP;360;NAN HUMAN;;;;;;;;;;
FRONT;LEFT;DOWN;CENTERED;NAN HUMAN;;;;;;;;;;
FRONT;LEFT;LEFT;NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
FRONT;LEFT;RIGHT;NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
FRONT;LEFT;FRONT;INWARD;NAN HUMAN;;;;;;;;;;
FRONT;LEFT;BACK;OUTWARD;NAN HUMAN;;;;;;;;;;
FRONT;RIGHT;UP;NAN HUMAN;360;;;;;;;;;;
FRONT;RIGHT;DOWN;NAN HUMAN;CENTERED;;;;;;;;;;
FRONT;RIGHT;LEFT;NAN HUMAN, NAN WRIST;NAN WRIST;;;;;;;;;;
FRONT;RIGHT;RIGHT;NAN HUMAN, NAN WRIST;NAN WRIST;;;;;;;;;;
FRONT;RIGHT;FRONT;NAN HUMAN;INWARD;;;;;;;;;;
FRONT;RIGHT;BACK;NAN HUMAN;OUTWARD;;;;;;;;;;
FRONT;FRONT;UP;OUTWARD;OUTWARD;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;FRONT;DOWN;INWARD;INWARD;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;FRONT;LEFT;CENTERED;360;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;FRONT;RIGHT;360;CENTERED;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;FRONT;FRONT;NAN WRIST;NAN WRIST;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;FRONT;BACK;NAN WRIST;NAN WRIST;Front front is singular, make sure its general for all;;;;;;;;;
FRONT;BACK;UP;NAN ELBOW;NAN ELBOW;;;;;;;;;;
FRONT;BACK;DOWN;NAN ELBOW;NAN ELBOW;;;;;;;;;;
FRONT;BACK;LEFT;NAN ELBOW;NAN ELBOW;;;;;;;;;;
FRONT;BACK;RIGHT;NAN ELBOW;NAN ELBOW;;;;;;;;;;
FRONT;BACK;FRONT;NAN ELBOW, NAN WRIST;NAN ELBOW, NAN WRIST;;;;;;;;;;
FRONT;BACK;BACK;NAN ELBOW, NAN WRIST;NAN ELBOW, NAN WRIST;;;;;;;;;;
BACK;UP;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;UP;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;UP;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;UP;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;UP;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;UP;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;DOWN;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;LEFT;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;RIGHT;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;FRONT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;FRONT;BACK;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;BACK;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
BACK;BACK;DOWN;NAN HUMAN;NAN HUMAN;Should be singular but its not doable;;;;;;;;;
BACK;BACK;LEFT;NAN HUMAN;NAN HUMAN;Should be singular but its not doable;;;;;;;;;
BACK;BACK;RIGHT;NAN HUMAN;NAN HUMAN;Should be singular but its not doable;;;;;;;;;
BACK;BACK;FRONT;NAN HUMAN;NAN HUMAN;Should be singular but its not doable;;;;;;;;;
BACK;BACK;BACK;NAN HUMAN;NAN HUMAN;Should be singular but its not doable;;;;;;;;;
